proverb,meaning,used,index
"Wat de een niet lust, daar eet een ander zich dik aan.",Smaken verschillen.,,1501
zijn lijn vasthouden,voortgaan volgens de vanaf het begin gehanteerde aanpak,,1502
loop naar je grootje,ga weg!,,1503
een mooi span voor een bokkenwagen,een zonderling koppel,,1504
ergens kind aan huis zijn,ergens graag en vaak gezien zijn,,1505
het harnas aantrekken,ten strijde trekken,,1506
het onderspit delven,verliezen,,1507
het is een hopje in een brouwketel,het is zo goed als niets,,1508
iemand op zijn zeer trappen,ergens over praten wat door iemand als erg onplezierig ervaren wordt,,1509
omstaan leren,leren schikken naar de wensen en bevelen van een ander,,1510
thuis is in je schuur,dit wordt gezegd als je weinig thuis bent,,1511
petje af ,respect betonen voor hoe iemand iets voor elkaar gekregen heeft,,1512
wie niet werkt zal niet eten,wie niet werkt verdient de kost niet,,1513
het eerste gewin is kattengespin,"wie het eerste spelletje wint, verliest soms alle volgende spelletjes",,1514
niets om het lijf hebben,"niets betekenen, geen waarde hebben",,1515
iemand aan de tand voelen,op strenge manier ondervragen,,1516
uit de heup schieten,een discussie ingaan met een ongenuanceerde argumentatie,,1517
aalmoezen geven verarmt niet,van een aalmoes te geven wordt men zelf niet armer,,1518
grote ogen opzetten,erg verbaasd zijn,,1519
Een patat geven,Een mep geven,,1520
je zou er toveren leren,het is er erg vervelend,,1521
een bitter beetje,een klein beetje,,1522
zo droog als een haring,hij zegt bijna niks,,1523
tot de jaren des onderscheids komen,oud genoeg zijn om zelf te weten/mogen wat wel en niet mag,,1524
die veel begeert veel ontbeert,altijd meer willen maakt ongelukkig,,1525
je mening niet onder stoelen of banken steken,"je mening niet verbergen, openlijk voor je standpunten uit durven komen, bij voorbeeld van afkeuring van iets",,1526
ex cathedra,volgens uitspraak van het hoogste gezag (meestal de paus),,1527
precies in mijn straatje zijn,me precies goed uitkomen op het juiste moment,,1528
als door een adder gebeten zijn,opeens fel reageren,,1529
Wortelen doet `t gat bortelen.,Het eten van wortelen bevordert de stoelgang.,,1530
het op iemand gemunt hebben,steeds dezelfde persoon die ergens last van heeft,,1531
als je je pet ertegenaan gooit dan blijft hij hangen,dat stukje verfwerk is niet erg vlak uitgevoerd,,1532
wie tot een penning geboren is kan tot geen stuiver komen,wat het lot voor je in petto heeft kan je niet ontlopen,,1533
Daar hangt het mes uit,Men durft daar een grote uitdaging aan te gaan,,1534
in geen twee sloten tegelijk lopen,voorzichtig zijn en op zichzelf kunnen passen,,1535
zijn bivak opslaan,ter plaatse blijven,,1536
dat gaapt als een oven,dat is onwaarschijnlijk,,1537
zonder complimenten,"zonder meer, zonder er verder nog woorden aan vuil te maken",,1538
adel verplicht,"wie in aanzien bij het volk staat, moet ook aan de verwachtingen van het volk voldoen",,1539
met de kous op de kop thuiskomen,teleurgesteld thuiskomen,,1540
een huis met gouden balken,een huis met hypotheek bezwaard,,1541
die olie meet wordt er vet van,in slecht gezelschap wordt men slecht,,1542
sine anno,zonder opgave van jaar,,1543
een hoge Piet,iemand van hogere rang of stand,,1544
die vlieger gaat niet op,die gedachte gaat niet lukken,,1545
een ander liedje laten zingen,"mores leren, van gedacht doen veranderen",,1546
hij heeft een klap van de molen gekregen.,hij is niet goed meer bij zijn verstand,,1547
achteruit gaan als een hollend paard,snel terrein verliezen,,1548
iemand het hof maken,aardig tegen iemand doen in de hoop aardig gevonden te worden,,1549
onder de loupe nemen,"nader bekijken, aandachtig bestuderen",,1550
het op de zenuwen hebben,zenuwachtig zijn,,1551
een goed begin heeft een goed behagen maar het eindje zal de last dragen,"goed beginnen is prima, maar je moet volhouden tot het einde",,1552
een stem in het kapittel hebben,"invloed hebben, iets te zeggen hebben",,1553
iemand de ijzers aanleggen,iemand boeien of onder grote druk zetten,,1554
de weg kwijt zijn.,"zich onhandig opstellen, onverstandige keuzes maken.",,1555
iets achter de kiezen steken,iets eten,,1556
iemand troef geven,iemand afstraffen,,1557
met een bord voor de kop lopen,niet voor andere omstandigheden of zienswijzen open staan,,1558
per slot van rekening,uiteindelijk,,1559
de bovenhand krijgen,"winnen, zegevieren",,1560
zuur opbreken,ergens mee in moeilijkheden komen (later),,1561
iets aan de grote klok hangen,iets algemeen kenbaar maken,,1562
zelfs de beste breister laat wel eens een steekje vallen.,"ook al kan iemand iets heel goed, hij (of zij) zal ooit wel eens een fout maken; dat is vergeeflijk.",,1563
dat is zo breed als het lang is,dat verandert niets aan de zaak,,1564
voor de drang der omstandigheden zwichten,zich naar de omstandigheden schikken,,1565
geen oog hebben voor,er niet op letten,,1566
bij nacht zijn alle katjes grauw en alle mondjes even nauw,als het erop aankomt zijn we allen gelijk,,1567
al lang en breed,al lange tijd,,1568
gedeelde smart is halve smart.,"als je over problemen praat, dan kan je het makkelijker verwerken / door de problemen/ellende van een ander is het gemakkelijker de eigen problemen/ellende te dragen",,1569
bij kris en kras volhouden,bij hoog en bij laag volhouden,,1570
nooit troef verzaken,"overal bij zijn, altijd meedoen",,1571
met de linkerhand trouwen,huwen met een vrouw van lagere adelstand,,1572
een speld kunnen horen vallen,een doodse stilte,,1573
op het veld van eer gevallen,eervol gesneuveld,,1574
dat komt als mosterd na de maaltijd,dat komt op een moment dat het geen nut meer heeft,,1575
dat is nog geen haaienvin waard,waardeloos,,1576
denkt aleer gij doende zijt en doende denkt dan nog. (Guido Gezelle),"maak een plan alvorens ergens aan te beginnen, en stel tijdens de activiteit het plan bij indien nodig",,1577
een liedje van verlangen,iets nog even proberen uit te stellen,,1578
knijp zitten,in de problemen zitten,,1579
kijken of men water ziet branden,heel erg verbaasd kijken,,1580
voor de bakker zijn,"voor elkaar zijn, in orde zijn",,1581
klagers hebben geen nood en pochers hebben geen brood.,zowel klagers als pochers kunnen de zaken nogal eens overdrijven.,,1582
het is een slechte muis die maar een hol heeft,je doet er best aan een alternatieve oplossing achter de hand te hebben,,1583
ex abrupto,onverwachts,,1584
met horten en stoten,"langzaamaan, met veel onderbrekingen",,1585
zijn hart uitstorten,bij iemand alles (in vertrouwen) vertellen over de moeilijkheden,,1586
tot op het bot uitzoeken,zeer grondig uitzoeken,,1587
iemand de hielen laten zien,inhalen of beter presteren dan de ander,,1588
op eigen wieken drijven,zich volledig kunnen redden van het geld dat iemand verdient,,1589
van de nacht een dag maken,'s nachts werken,,1590
op zich laten zitten,aanvaarden zonder tegenstand,,1591
Geen tien paarden brengen me daar naar toe. ,In geen geval ga ik daar naar toe,,1592
Op de galg schijten,Nergens bang voor zijn,,1593
iets in de wind slaan,naar een advies niet naar luisteren,,1594
niet halen bij,niet kunnen tippen aan,,1595
met het kleine begint men bij het grote houdt men op,van de kleine misdaad komt men vanzelf in de grote misdadigheid terecht,,1596
"De boer op de bok liet de teugels vieren, het paard kende zelf de weg wel. ","Je moet niet doen alsof je de beste bent, iemand anders weet ook wel wat",,1597
de rode haan laten kraaien,iets in brand steken,,1598
kromme gangen gaan,"omwegen maken, oneerlijk zijn",,1599
Een aal bij de staart hebben,Een lastige taak ondernemen,,1600
iemand iets op een briefje geven,ergens heel zeker van zijn,,1601
een twistappel vormen,een onderwerp van ruzie/conflict/onenigheid zijn,,1602
quod bonum felix faustumque sit,moge dat goed en gezegend zijn,,1603
kinderen zijn een zegen des heren maar zij houden de noppen van de kleren,kinderen opvoeden kost veel geld,,1604
die haring braadt niet,dat (meestal geniepige) plannetje schijnt niet te lukken,,1605
een korf krijgen,afgewezen worden,,1606
iets uit zijn mond sparen,iets niet opeten,,1607
as is verbrande turf,aan een belofte (as = als) heb je niets,,1608
het bloed spreekt,de familieband doet zich opmerken,,1609
cum laude,met eer,,1610
"wat de vos niet weet, weet de haas ook niet",het is moeilijk iets te weten als het je nooit verteld is,,1611
menen ligt dicht bij Kortrijk (maar verre van Waregem),iets menen is niet genoeg; je moet er zeker van zijn. ,,1612
zijn verdiende loon krijgen,krijgen wat hem toekomt (meestal iets slecht),,1613
een losse tong hebben,te veel babbelen,,1614
met een gouden hengel vissen,door bedrog zijn doel halen,,1615
have en goed (verliezen),alles wat je hebt (verliezen),,1616
op tijd en stond,"ten gepasten tijde, af en toe",,1617
zijn lol wel opkunnen,er niet mee kunnen lachen,,1618
de bezem in de mast voeren,de baas zijn en leiding hebben,,1619
kletskoek,onzin,,1620
Wie in een boomgaard werkt mag er uit eten / van de druiven eten.,Voordeel halen uit je werk.,,1621
de aap beet/binnen/weg hebben,het geld ontvangen hebben,,1622
varen waar de grote mast vaart,klakkeloos de baas volgen,,1623
de tijd baart rozen,ook de diepste (geestelijke) wonden helen na verloop van tijd,,1624
de bal terugkaatsen,"op een vraag die gesteld wordt geen antwoord geven, maar een tegenvraag stellen; op een kritische opmerking van iemand reageren door zelf ook meteen een kritische opmerking te maken over de ander",,1625
de drie h s meegeven,iemand (zo mogelijk definitief) wegsturen,,1626
de schouders ophalen,er zich niets van aantrekken - er niets over willen weten,,1627
uitstel is geen afstel,als je iets uitstelt wil dat nog niet zeggen dat je het nooit meer gaat doen,,1628
de huid vol schelden,flink uitschelden,,1629
is Saul onder de profeten?,niet verwachten dat iemand er ook aanwezig is,,1630
een zaak aankaarten,een onderwerp in de aandacht brengen,,1631
onder de groene zoden liggen,begraven zijn,,1632
je laatste adem uitblazen,"sterven, doodgaan",,1633
De ganzen geloven niet dat de kuikens hooi eten.,Zelfs bij domme mensen vinden ongerijmdheden geen geloof.,,1634
zeeën van tijd hebben.,ergens erg veel tijd voor hebben.,,1635
in iemands vaarwater zitten,iemand hinderen,,1636
de oren wassen,"duchtig ervan langs geven, de waarheid zeggen",,1637
een dood kind met een lam handje,iets dat totaal waardeloos is,,1638
handen wassen,het toilet bezoeken,,1639
een adder(tje) onder het gras schuilen,een gemene bedoeling achter schuilen,,1640
de lading binnen hebben,dronken,,1641
dan zwaait er wat,dan dreigen zware repercussies,,1642
de slaap der rechtvaardigen slapen,een schoon geweten hebben,,1643
de boventoon voeren,het hoogste woord hebben,,1644
voor geen kleintje vervaard zijn,veel durven,,1645
onder de blauwe/blote hemel,in open lucht,,1646
iemand het mes op de keel zetten,iemand onder zware druk zetten,,1647
Bij de duivel te biecht gaan,Geheimen onthullen aan de vijand,,1648
quod deus bene vertat,laat God het ten goede keren,,1649
aan de lus hangen,recht blijven staan in tram of bus,,1650
op zijn boerenfluitjes,slordig,,1651
niet meer kunnen wegdenken,niet meer kunnen missen,,1652
in de mat zijn,ziek of ongesteld zijn,,1653
ongeluk komt zelden alleen,een tegenslag wordt vaak gevolgd door nog meer problemen,,1654
zich weren als een kat in de krullen,zich fel verweren,,1655
gewicht in de schaal leggen,een wezenlijk deel bijdragen,,1656
lopen als een muis in een meelton,onrustig heen en weer lopen,,1657
de vloer aanvegen met,gemakkelijk kloppen,,1658
onder de pantoffel zitten,thuis niets te vertellen hebben,,1659
voor een vissers deur vissen,vergeefse moeite doen,,1660
ten hemel schreien,een toestand die zo erg is dat er eigenlijk direct iets aan gedaan zou moeten worden,,1661
de lever doen schudden,doen schaterlachen,,1662
met de ogen meten,schatten,,1663
men kan geen omelet maken zonder eieren te breken.,soms moet men iets verliezen om een hoger doel te bereiken.,,1664
iets na aan het hart hebben liggen.,er erg mee begaan zijn.,,1665
eendracht maakt macht,wanneer mensen samenwerken kan men veel bereiken,,1666
met onwillige honden is het slecht hazen vangen,het is moeilijk om samen te werken met mensen die niet willen,,1667
op de kleintjes letten,zuinig zijn. Ook de kleine uitgaven proberen terug te dringen,,1668
een Poolse landdag,"wilde, ongeregelde vergadering",,1669
"Twee honden aen eenen beene, si draghen selden wel overeene",Verbitterd om iets vechten,,1670
een vrolijke frans zijn,zeer opgewekt en blij zijn zonder zorgen,,1671
haal je de koekoek,mij niet gezien!,,1672
maak je borst maar nat.,bereid je voor op een zware klus (of op veel tegenstand).,,1673
in het goede spoor houden,onder controle houden,,1674
schot en lot betalen,zijn burgerplicht naar behoren vervullen,,1675
onder het juk brengen,onderwerpen,,1676
je mening niet onder stoelen of banken steken.,"je mening niet verbergen, openlijk voor je mening en standpunten uit durven komen, bij voorbeeld van afkeuring van iets.",,1677
aan iets paal en perk stellen,er een definitief einde aan maken,,1678
het is van de gekke,het zou niet mogen,,1679
eer betuigen,vereren,,1680
een tipje van de sluier oplichten,een klein stukje van het onbekende onthullen,,1681
niet in een goed vel steken,"altijd ziek zijn, nooit gezond",,1682
iemand (aan) de pols voelen,iemand uithoren,,1683
"je doet de boter in de pan, maar bakt er niks van","denken dat je iets begrijpt, terwijl je dat niet doet",,1684
recht in zijn schoenen lopen/staan,"eerlijk zijn, niets misdaan hebben",,1685
lijnrecht tegenover iets staan,volledig het omgekeerde zijn of denken,,1686
tegen het zere been schoppen,een pijnlijke opmerking maken over iets wat gevoelig ligt,,1687
op het sleeptouw houden,aan het lijntje houden,,1688
"als het geld op is, is het kopen gedaan",zonder liquide middelen zijn er geen uitgaven meer mogelijk,,1689
het hoofd verliezen,niet meer weten wat te doen,,1690
dat is geen punt. / Daar maken we geen punt van,dat is geen probleem. / Dat is helemaal geen argument,,1691
waar de schoen wringt,waar iemand hinder van ondervindt,,1692
"Vertrouwen komt te voet, maar gaat te paard. ","Vertrouwen wint men langzaam, maar kan men vlug verliezen",,1693
ergens lak aan hebben,het zich helemaal niet aantrekken,,1694
met de ogen verslinden,heel erg graag zien,,1695
met de neus in de boter vallen,door geluk rijk geworden zijn,,1696
Een ei in het nest laten,Iets op voorraad hebben,,1697
met gouden balken,met een hypotheek (met lening),,1698
ergens een kleine jongen bij zijn,er niet aan kunnen tippen,,1699
zijn rolletje laten aflopen,volop genieten,,1700
onder een staand zeiltje is het goed roeien,"met een klein vast inkomen, verdient men al gauw genoeg voor de kost",,1701
Het paard moet tot de kribbe komen. ,Wie belang heeft bij een zaak moet er zelf op uit gaan,,1702
het rijk alleen hebben,"alleen baas zijn, alleen thuis zijn",,1703
het met iemand aan de stok hebben/krijgen,ruzie met elkaar hebben/krijgen,,1704
op iemands schouders staan,op andermans werk voortbouwen,,1705
het gras voor de voeten wegmaaien,de woorden uit de mond nemen - alle kansen ontnemen,,1706
schijn bedriegt,dingen zijn niet altijd zoals ze zich voordoen,,1707
bij de vleet (iets hebben),erg veel (van iets hebben),,1708
in iemands vaarwater zitten,iemand hinderen of concurreren,,1709
heden ik morgen gij,"oud grafschrift: gedenk, lezer, dat jij ook zal sterven",,1710
elke medaille heeft een keerzijde,"iets van twee kanten bekijken, aan iedere zaak zitten twee kanten, vaak een positieve en minder positieve kant",,1711
